INDEX,TAG,DATE,TIME,LATITUDE N/S,LONGITUDE E/W,HEIGHT,SPEED,HEADING
37,T,230505,153613,52.4038869N,1.5037935W,100,1.2,162
38,T,230505,153614,52.4038735N,1.5037816W,100,1.2,166
39,T,230505,153615,52.4038656N,1.5037828W,100,1.8,174
40,T,230505,153616,52.4038566N,1.5037842W,100,2.5,172
41,T,230505,153617,52.4038492N,1.5037858W,100,2.5,174
42,T,230505,153618,52.4038437N,1.5037869W,100,2.4,174
43,T,230505,153620,52.4038399N,1.5037879W,100,1.8,178
44,T,230505,153621,52.4038372N,1.5037887W,100,1.8,176
45,T,230505,153622,52.4038299N,1.5037899W,100,2.2,178
46,T,230505,153623,52.4038162N,1.5037907W,100,3.1,174
47,T,230505,153624,52.4037989N,1.5037902W,99,3.8,174
48,T,230505,153625,52.4037810N,1.5037878W,99,4.4,174
49,T,230505,153626,52.4037660N,1.5037866W,99,4.6,176
50,T,230505,153627,52.4037553N,1.5037858W,99,4.2,178
51,T,230505,153628,52.4037495N,1.5037864W,99,3.7,178
52,T,230505,153641,52.4037474N,1.5037864W,98,1.4,190
53,T,230505,153642,52.4037351N,1.5037894W,98,2.5,198
54,T,230505,153643,52.4037199N,1.5037955W,98,4.2,218
55,T,230505,153644,52.4037036N,1.5038056W,98,5,238
56,T,230505,153645,52.4036993N,1.5038152W,98,4.2,238
57,T,230505,153646,52.4036979N,1.5038191W,98,3.3,93
58,T,230505,153647,52.4036955N,1.5038096W,98,3.7,105
59,T,230505,153648,52.4036880N,1.5037846W,98,5.1,121
60,T,230505,153649,52.4036741N,1.5037460W,98,7,121
61,T,230505,153650,52.4036550N,1.5036978W,98,8.7,120
62,T,230505,153651,52.4036343N,1.5036442W,98,10.1,120
63,T,230505,153652,52.4036129N,1.5035881W,98,11.1,120
64,T,230505,153653,52.4035911N,1.5035320W,98,12,121
65,T,230505,153654,52.4035689N,1.5034755W,98,12.5,121
66,T,230505,153655,52.4035460N,1.5034186W,98,13.1,122
67,T,230505,153656,52.4035227N,1.5033615W,98,13.5,122
68,T,230505,153657,52.4034982N,1.5033054W,98,13.8,125
69,T,230505,153658,52.4034731N,1.5032513W,98,14.2,131
70,T,230505,153659,52.4034453N,1.5032019W,98,14.4,139
71,T,230505,153700,52.4034144N,1.5031594W,98,14.6,149
72,T,230505,153701,52.4033806N,1.5031245W,98,14.6,154
73,T,230505,153702,52.4033452N,1.5030956W,98,14.8,156
74,T,230505,153703,52.4033086N,1.5030698W,98,15,157
75,T,230505,153704,52.4032710N,1.5030448W,98,15.1,158
76,T,230505,153705,52.4032325N,1.5030200W,98,15.3,158
77,T,230505,153706,52.4031933N,1.5029932W,98,15.5,155
78,T,230505,153707,52.4031537N,1.5029618W,98,15.9,148
79,T,230505,153708,52.4031139N,1.5029233W,98,16.4,144
80,T,230505,153709,52.4030736N,1.5028787W,99,19.4,143
81,T,230505,153710,52.4030332N,1.5028297W,99,20.1,142
82,T,230505,153711,52.4029917N,1.5027775W,99,21.1,141
83,T,230505,153712,52.4029507N,1.5027203W,99,21.6,134
84,T,230505,153713,52.4028769N,1.5025867W,99,21.8,126
85,T,230505,153714,52.4028439N,1.5025101W,98,22.4,125
86,T,230505,153715,52.4028129N,1.5024307W,98,22.9,122
87,T,230505,153716,52.4027820N,1.5023465W,98,23.5,120
88,T,230505,153717,52.4027521N,1.5022571W,98,24,119
89,T,230505,153718,52.4027228N,1.5021674W,98,24.4,118
90,T,230505,153719,52.4026920N,1.5020794W,97,24.6,119
91,T,230505,153720,52.4026647N,1.5019896W,97,24.8,117
92,T,230505,153721,52.4026392N,1.5018975W,97,24.8,113
93,T,230505,153722,52.4026169N,1.5018036W,96,24.6,111
94,T,230505,153723,52.4025992N,1.5017123W,96,24.2,107
95,T,230505,153724,52.4025864N,1.5016179W,96,24,102
96,T,230505,153725,52.4025814N,1.5015215W,96,23.8,94
97,T,230505,153726,52.4025856N,1.5014315W,96,23.3,85
98,T,230505,153727,52.4025954N,1.5013461W,96,22.7,79
99,T,230505,153728,52.4026046N,1.5012617W,95,22.2,80
100,T,230505,153729,52.4026046N,1.5011746W,95,21.8,89
101,T,230505,153730,52.4025944N,1.5010893W,95,21.6,100
102,T,230505,153731,52.4025800N,1.5010086W,95,21.2,106
103,T,230505,153732,52.4025658N,1.5009307W,95,20.9,105
104,T,230505,153733,52.4025528N,1.5008527W,95,20.5,103
105,T,230505,153734,52.4025421N,1.5007740W,94,20.1,101
106,T,230505,153735,52.4025352N,1.5007055W,94,19.2,98
107,T,230505,153736,52.4025342N,1.5006555W,94,17,92
108,T,230505,153737,52.4025354N,1.5006248W,94,14,85
109,T,230505,153738,52.4025361N,1.5006117W,94,10.7,84
110,T,230505,153753,52.4025361N,1.5006117W,93,1.1,84
111,T,230505,153754,52.4025285N,1.5005886W,93,3.1,82
112,T,230505,153755,52.4025342N,1.5005500W,93,6.8,76
113,T,230505,153756,52.4025464N,1.5004960W,92,10.9,70
114,T,230505,153757,52.4025665N,1.5004388W,92,13.7,60
115,T,230505,153758,52.4025923N,1.5003856W,92,15.1,51
116,T,230505,153759,52.4026216N,1.5003395W,92,15.7,43
117,T,230505,153800,52.4026532N,1.5003025W,92,15.7,36
118,T,230505,153801,52.4026874N,1.5002784W,92,15.5,23
119,T,230505,153802,52.4027303N,1.5002733W,92,15.7,16
120,T,230505,153803,52.4027822N,1.5002933W,92,17,359
121,T,230505,153804,52.4028474N,1.5003261W,92,22.7,342
122,T,230505,153805,52.4029270N,1.5003677W,92,28.7,342
123,T,230505,153806,52.4030102N,1.5004143W,91,32.2,341
124,T,230505,153807,52.4030914N,1.5004665W,91,33.7,338
125,T,230505,153808,52.4031702N,1.5005258W,91,34.2,335
126,T,230505,153809,52.4032493N,1.5005924W,91,35,332
127,T,230505,153810,52.4033287N,1.5006653W,91,35.7,330
128,T,230505,153811,52.4034065N,1.5007461W,91,36.2,327
129,T,230505,153812,52.4034811N,1.5008336W,91,36.6,324
130,T,230505,153813,52.4035576N,1.5009225W,91,37,324
131,T,230505,153814,52.4036329N,1.5010113W,91,37,324
132,T,230505,153815,52.4037055N,1.5011007W,91,36.8,323
133,T,230505,153816,52.4037693N,1.5011963W,91,36.1,317
134,T,230505,153817,52.4038295N,1.5012876W,91,34.4,309
135,T,230505,153818,52.4038670N,1.5013958W,91,32.9,299
136,T,230505,153819,52.4038947N,1.5015100W,91,31.8,292
137,T,230505,153820,52.4039130N,1.5016372W,91,31.8,284
138,T,230505,153821,52.4039206N,1.5017745W,91,32.9,276
139,T,230505,153822,52.4039280N,1.5019152W,91,34.2,275
140,T,230505,153823,52.4039443N,1.5020514W,91,34.4,281
141,T,230505,153823,52.4039443N,1.5020514W,91,34.4,281
142,T,230505,153825,52.4040331N,1.5022610W,91,32.9,313
143,T,230505,153826,52.4041001N,1.5023227W,91,32.2,331
144,T,230505,153827,52.4041745N,1.5023548W,91,31.6,345
145,T,230505,153828,52.4042479N,1.5023714W,91,31.1,352
146,T,230505,153829,52.4043196N,1.5023852W,91,30.3,352
147,T,230505,153830,52.4043900N,1.5024014W,91,29.8,352
148,T,230505,153831,52.4044570N,1.5024203W,91,28.8,352
149,T,230505,153832,52.4045205N,1.5024366W,91,27.7,351
150,T,230505,153833,52.4045782N,1.5024495W,91,26.4,351
151,T,230505,153834,52.4046341N,1.5024629W,91,25.1,352
152,T,230505,153835,52.4046818N,1.5024715W,91,23.5,353
153,T,230505,153836,52.4047178N,1.5024788W,91,20.7,352
154,T,230505,153837,52.4047374N,1.5024772W,91,16.8,2
155,T,230505,153838,52.4047437N,1.5024802W,91,1.8,2
156,T,230505,153841,52.4047437N,1.5024802W,91,5.1,351
157,T,230505,153842,52.4047725N,1.5024889W,91,10,4
158,T,230505,153843,52.4048159N,1.5024764W,90,13.8,10
159,T,230505,153844,52.4048609N,1.5024636W,90,16.6,40
160,T,230505,153845,52.4048930N,1.5023950W,90,17.7,46
161,T,230505,153846,52.4049142N,1.5023086W,90,20,73
162,T,230505,153847,52.4049210N,1.5022224W,90,21.8,104
163,T,230505,153848,52.4049019N,1.5021196W,90,23.1,107
164,T,230505,153849,52.4048765N,1.5020155W,91,25,108
165,T,230505,153850,52.4048429N,1.5019162W,91,26.6,122
166,T,230505,153851,52.4047915N,1.5018306W,91,28.5,133
167,T,230505,153852,52.4047261N,1.5017567W,91,29.6,146
168,T,230505,153853,52.4046592N,1.5017025W,91,30,153
169,T,230505,153854,52.4045968N,1.5016520W,91,29.2,154
170,T,230505,153855,52.4045457N,1.5016117W,90,27.2,154
171,T,230505,153856,52.4045079N,1.5015816W,90,24.2,154
172,T,230505,153857,52.4044817N,1.5015604W,90,20.3,154
173,T,230505,153858,52.4044686N,1.5015491W,90,15.9,155
174,T,230505,153859,52.4044595N,1.5015437W,90,2.7,155
175,T,230505,153914,52.4044595N,1.5015437W,90,1.8,155
176,T,230505,153915,52.4044284N,1.5015257W,90,5.7,155
177,T,230505,153916,52.4043931N,1.5014998W,90,11.1,155
178,T,230505,153917,52.4043462N,1.5014649W,90,16.4,155
179,T,230505,153918,52.4042903N,1.5014232W,90,20.9,155
180,T,230505,153919,52.4042336N,1.5013806W,90,23.1,155
181,T,230505,153920,52.4041703N,1.5013318W,90,25.9,154
182,T,230505,153921,52.4041014N,1.5012773W,90,28.5,154
183,T,230505,153922,52.4040222N,1.5012172W,90,32.4,155
184,T,230505,153923,52.4039331N,1.5011507W,89,36.2,155
185,T,230505,153924,52.4038437N,1.5010784W,89,38.3,153
186,T,230505,153925,52.4037575N,1.5009994W,89,39,150
187,T,230505,153926,52.4036706N,1.5009119W,90,40,148
188,T,230505,153927,52.4035811N,1.5008237W,89,42.2,147
189,T,230505,153928,52.4034858N,1.5007276W,89,43.3,147
190,T,230505,153929,52.4033895N,1.5006310W,90,43.8,149
191,T,230505,153930,52.4032921N,1.5005413W,90,44.2,151
192,T,230505,153931,52.4031962N,1.5004642W,90,44.2,154
193,T,230505,153932,52.4030933N,1.5003941W,90,44,157
194,T,230505,153933,52.4029891N,1.5003298W,90,44.4,159
195,T,230505,153934,52.4028809N,1.5002645W,90,45.1,159
196,T,230505,153935,52.4027771N,1.5002008W,90,45,159
197,T,230505,153936,52.4026728N,1.5001399W,90,44.8,160
198,T,230505,153937,52.4025682N,1.5000801W,90,44.6,161
199,T,230505,153938,52.4024660N,1.5000219W,90,44.2,161
200,T,230505,153939,52.4023680N,1.4999667W,89,43.3,160
201,T,230505,153940,52.4022730N,1.4999091W,89,42.5,160
202,T,230505,153941,52.4021834N,1.4998492W,89,41.4,157
203,T,230505,153942,52.4020974N,1.4997892W,88,40.3,156
204,T,230505,153943,52.4020130N,1.4997316W,88,39.2,157
205,T,230505,153944,52.4019321N,1.4996708W,88,38.1,155
206,T,230505,153945,52.4018539N,1.4996094W,88,37.2,154
207,T,230505,153946,52.4017769N,1.4995462W,87,36.4,153
208,T,230505,153947,52.4016987N,1.4994814W,87,36.1,153
209,T,230505,153948,52.4016201N,1.4994165W,87,35.7,153
210,T,230505,153949,52.4015403N,1.4993507W,87,35.7,153
211,T,230505,153950,52.4014601N,1.4992841W,86,35.9,153
212,T,230505,153951,52.4013779N,1.4992160W,86,36.4,153
213,T,230505,153952,52.4012933N,1.4991468W,86,37.2,153
214,T,230505,153953,52.4012079N,1.4990762W,85,37.7,153
215,T,230505,153954,52.4011232N,1.4990046W,85,37.9,152
216,T,230505,153955,52.4010398N,1.4989299W,85,37.9,151
217,T,230505,153956,52.4009571N,1.4988522W,84,38.1,150
218,T,230505,153957,52.4008729N,1.4987740W,84,38.3,150
219,T,230505,153958,52.4007868N,1.4986932W,84,39,150
220,T,230505,153959,52.4006993N,1.4986124W,84,39.8,150
221,T,230505,154000,52.4006079N,1.4985316W,84,40.9,150
222,T,230505,154001,52.4005106N,1.4984480W,84,42.5,152
223,T,230505,154002,52.4004094N,1.4983623W,84,44.2,152
224,T,230505,154003,52.4003063N,1.4982761W,84,45.3,153
225,T,230505,154004,52.4002039N,1.4981930W,84,45.5,153
226,T,230505,154005,52.4001057N,1.4981092W,84,45.1,152
227,T,230505,154006,52.4000090N,1.4980267W,84,44.8,152
228,T,230505,154007,52.3999136N,1.4979436W,84,44.4,152
229,T,230505,154008,52.3998194N,1.4978599W,84,43.8,151
230,T,230505,154009,52.3997256N,1.4977773W,84,43.5,151
231,T,230505,154010,52.3996344N,1.4976955W,85,43.1,151
232,T,230505,154011,52.3995443N,1.4976147W,85,42.5,151
233,T,230505,154012,52.3994531N,1.4975337W,84,42.2,151
234,T,230505,154013,52.3993605N,1.4974521W,84,42.2,151
235,T,230505,154014,52.3992682N,1.4973700W,84,42.2,151
236,T,230505,154015,52.3991768N,1.4972885W,84,42,151
237,T,230505,154016,52.3990863N,1.4972077W,84,41.8,151
238,T,230505,154017,52.3989968N,1.4971276W,84,41.4,151
239,T,230505,154018,52.3989069N,1.4970477W,84,41.2,151
240,T,230505,154019,52.3988176N,1.4969698W,83,41.1,151
241,T,230505,154020,52.3987280N,1.4968945W,83,40.9,152
242,T,230505,154021,52.3986375N,1.4968215W,83,40.7,153
243,T,230505,154022,52.3985409N,1.4967482W,83,41.8,154
244,T,230505,154023,52.3984402N,1.4966771W,83,42.9,156
245,T,230505,154024,52.3983371N,1.4966109W,82,43.7,158
246,T,230505,154025,52.3982328N,1.4965498W,82,44,160
247,T,230505,154026,52.3981277N,1.4964945W,82,44,161
248,T,230505,154027,52.3980230N,1.4964418W,82,43.8,162
249,T,230505,154028,52.3979203N,1.4963915W,81,43.7,163
250,T,230505,154029,52.3978192N,1.4963405W,81,43.1,164
251,T,230505,154030,52.3977174N,1.4962946W,82,43.8,165
252,T,230505,154031,52.3976132N,1.4962517W,82,44.2,166
253,T,230505,154032,52.3975046N,1.4962054W,82,44.4,166
254,T,230505,154033,52.3973939N,1.4961591W,82,45,166
255,T,230505,154034,52.3972780N,1.4961153W,82,45.9,167
256,T,230505,154035,52.3971557N,1.4960746W,82,46.8,167
257,T,230505,154036,52.3970360N,1.4960322W,82,47.4,167
258,T,230505,154037,52.3969171N,1.4959890W,83,47.7,167
259,T,230505,154038,52.3967983N,1.4959473W,83,47.7,167
260,T,230505,154039,52.3966821N,1.4959052W,83,47.7,167
261,T,230505,154040,52.3965638N,1.4958590W,83,48.3,166
262,T,230505,154041,52.3964432N,1.4958137W,83,48.7,166
263,T,230505,154042,52.3963232N,1.4957649W,83,49.2,166
264,T,230505,154043,52.3962030N,1.4957170W,82,49.6,165
265,T,230505,154044,52.3960833N,1.4956662W,82,49.4,165
266,T,230505,154045,52.3959636N,1.4956142W,82,49.4,165
267,T,230505,154046,52.3958438N,1.4955607W,82,49.6,165
268,T,230505,154047,52.3957233N,1.4955064W,81,49.6,164
269,T,230505,154048,52.3956047N,1.4954530W,81,49.4,164
270,T,230505,154049,52.3954851N,1.4953987W,81,49.4,164
271,T,230505,154050,52.3953666N,1.4953439W,80,49.4,164
272,T,230505,154051,52.3952478N,1.4952857W,80,49.4,163
273,T,230505,154052,52.3951293N,1.4952298W,80,49.4,163
274,T,230505,154053,52.3950117N,1.4951729W,80,49.2,163
275,T,230505,154054,52.3948947N,1.4951158W,79,49.2,163
276,T,230505,154055,52.3947771N,1.4950593W,79,49,163
277,T,230505,154056,52.3946599N,1.4950025W,79,49,163
278,T,230505,154057,52.3945429N,1.4949462W,79,48.8,163
279,T,230505,154058,52.3944281N,1.4948906W,79,48.3,164
280,T,230505,154059,52.3943144N,1.4948374W,79,48.3,163
281,T,230505,154100,52.3941996N,1.4947831W,79,48.1,163
282,T,230505,154101,52.3940850N,1.4947278W,79,48.1,163
283,T,230505,154102,52.3939722N,1.4946717W,79,48.1,163
284,T,230505,154103,52.3938560N,1.4946169W,79,48.3,163
285,T,230505,154104,52.3937387N,1.4945602W,79,48.5,163
286,T,230505,154105,52.3936221N,1.4945014W,79,48.7,162
287,T,230505,154106,52.3935059N,1.4944367W,80,48.7,161
288,T,230505,154107,52.3933937N,1.4943729W,79,48.3,161
289,T,230505,154108,52.3932809N,1.4942984W,80,48.7,158
290,T,230505,154109,52.3931698N,1.4942181W,80,48.5,156
291,T,230505,154110,52.3930623N,1.4941370W,80,48.1,155
292,T,230505,154111,52.3929554N,1.4940556W,80,47.9,155
293,T,230505,154112,52.3928490N,1.4939694W,80,47.7,154
294,T,230505,154113,52.3927454N,1.4938828W,80,47.5,153
295,T,230505,154114,52.3926426N,1.4937961W,79,47.2,152
296,T,230505,154115,52.3925451N,1.4937083W,79,46.4,151
297,T,230505,154116,52.3924540N,1.4936161W,78,45.3,148
298,T,230505,154117,52.3923738N,1.4935190W,78,43.7,143
299,T,230505,154118,52.3923065N,1.4934183W,77,41.6,137
300,T,230505,154119,52.3922544N,1.4933217W,77,38.5,131
301,T,230505,154120,52.3922173N,1.4932373W,77,34.4,125
302,T,230505,154121,52.3921928N,1.4931640W,77,30.1,118
303,T,230505,154122,52.3921774N,1.4931069W,76,25.7,113
304,T,230505,154123,52.3921700N,1.4930722W,76,20.5,108
305,T,230505,154124,52.3921664N,1.4930580W,76,15.5,110
306,T,230505,154129,52.3921664N,1.4930580W,76,2,110
307,T,230505,154130,52.3921601N,1.4930304W,76,3.1,107
308,T,230505,154131,52.3921548N,1.4929984W,76,5.9,105
309,T,230505,154132,52.3921477N,1.4929484W,76,9.6,103
310,T,230505,154133,52.3921412N,1.4928842W,76,12.9,101
311,T,230505,154134,52.3921369N,1.4928077W,75,16.1,95
312,T,230505,154135,52.3921324N,1.4927358W,75,17.2,82
313,T,230505,154136,52.3921350N,1.4926370W,75,20.3,85
314,T,230505,154137,52.3921389N,1.4925369W,75,23.7,82
315,T,230505,154138,52.3921505N,1.4924364W,75,25,78
316,T,230505,154139,52.3921718N,1.4923319W,75,27.2,74
317,T,230505,154140,52.3921954N,1.4922050W,75,29.6,73
318,T,230505,154141,52.3922134N,1.4920741W,75,31.4,77
319,T,230505,154142,52.3922195N,1.4919323W,75,32.5,85
320,T,230505,154143,52.3922251N,1.4917901W,75,33.1,105
321,T,230505,154144,52.3921924N,1.4916603W,75,33.5,111
322,T,230505,154145,52.3921486N,1.4915325W,75,34.8,117
323,T,230505,154146,52.3920990N,1.4913965W,75,36.8,119
324,T,230505,154147,52.3920456N,1.4912517W,75,39.4,120
325,T,230505,154148,52.3919886N,1.4911013W,74,41.1,121
326,T,230505,154149,52.3919329N,1.4909547W,74,42,121
327,T,230505,154150,52.3918756N,1.4908021W,74,43.1,121
328,T,230505,154151,52.3918176N,1.4906439W,74,44.4,120
329,T,230505,154152,52.3917598N,1.4904795W,74,45.5,120
330,T,230505,154153,52.3917027N,1.4903135W,74,46.1,119
331,T,230505,154154,52.3916471N,1.4901436W,74,46.4,118
332,T,230505,154155,52.3915950N,1.4899759W,74,46.3,116
333,T,230505,154156,52.3915476N,1.4898087W,74,45.9,114
334,T,230505,154157,52.3915045N,1.4896422W,74,45.3,113
335,T,230505,154158,52.3914642N,1.4894772W,73,44.8,111
336,T,230505,154159,52.3914245N,1.4893103W,73,44.4,111
337,T,230505,154200,52.3913861N,1.4891442W,72,44,110
338,T,230505,154201,52.3913481N,1.4889780W,72,43.8,110
339,T,230505,154202,52.3913106N,1.4888138W,72,43.5,110
340,T,230505,154203,52.3912744N,1.4886522W,72,43.1,110
341,T,230505,154204,52.3912360N,1.4884947W,72,42.7,110
342,T,230505,154205,52.3912019N,1.4883311W,72,42.5,108
343,T,230505,154206,52.3911675N,1.4881751W,72,41.8,109
344,T,230505,154207,52.3911337N,1.4880212W,72,40.5,109
345,T,230505,154208,52.3911041N,1.4878835W,72,39.2,109
346,T,230505,154209,52.3910764N,1.4877556W,72,37,109
347,T,230505,154210,52.3910535N,1.4876481W,72,34,108
348,T,230505,154211,52.3910326N,1.4875482W,72,31.4,107
349,T,230505,154212,52.3910144N,1.4874563W,72,29.2,107
350,T,230505,154213,52.3909982N,1.4873673W,72,27.4,107
351,T,230505,154214,52.3909816N,1.4872912W,72,25.1,107
352,T,230505,154215,52.3909690N,1.4872258W,72,22.5,107
353,T,230505,154216,52.3909580N,1.4871659W,72,20.5,106
354,T,230505,154217,52.3909491N,1.4871090W,72,18.8,106
355,T,230505,154218,52.3909399N,1.4870525W,72,17.5,106
356,T,230505,154219,52.3909282N,1.4869879W,72,17.4,106
357,T,230505,154220,52.3909144N,1.4869062W,72,19.4,105
358,T,230505,154221,52.3908996N,1.4868129W,72,22,105
359,T,230505,154222,52.3908836N,1.4867104W,72,24.2,105
360,T,230505,154223,52.3908649N,1.4866024W,72,26.2,105
361,T,230505,154224,52.3908438N,1.4864838W,72,28.5,105
362,T,230505,154225,52.3908212N,1.4863556W,72,30.9,105
363,T,230505,154226,52.3907988N,1.4862222W,72,32.5,105
364,T,230505,154227,52.3907753N,1.4860945W,73,32.4,105
365,T,230505,154228,52.3907541N,1.4859800W,73,31.4,107
366,T,230505,154229,52.3907238N,1.4858790W,73,30.1,116
367,T,230505,154230,52.3906980N,1.4857826W,73,28.7,113
368,T,230505,154231,52.3906766N,1.4856798W,73,28.1,108
369,T,230505,154232,52.3906564N,1.4855645W,74,28.7,105
370,T,230505,154233,52.3906354N,1.4854493W,74,29,106
371,T,230505,154234,52.3906147N,1.4853360W,74,28.8,106
372,T,230505,154235,52.3905938N,1.4852238W,74,28.8,106
373,T,230505,154236,52.3905746N,1.4851168W,74,28.3,106
374,T,230505,154237,52.3905569N,1.4850136W,74,27.7,105
375,T,230505,154238,52.3905394N,1.4849097W,75,27.2,105
376,T,230505,154239,52.3905208N,1.4848018W,75,27.2,106
377,T,230505,154240,52.3905026N,1.4846987W,75,26.8,106
378,T,230505,154241,52.3904857N,1.4846048W,75,25.9,106
379,T,230505,154242,52.3904695N,1.4845170W,75,24.6,106
380,T,230505,154243,52.3904558N,1.4844328W,75,23.7,106
381,T,230505,154244,52.3904389N,1.4843459W,75,23.1,106
382,T,230505,154245,52.3904252N,1.4842640W,75,22.4,106
383,T,230505,154246,52.3904125N,1.4841862W,76,21.4,106
384,T,230505,154247,52.3903996N,1.4841133W,76,20.5,106
385,T,230505,154248,52.3903882N,1.4840444W,76,19.6,105
386,T,230505,154249,52.3903737N,1.4839729W,76,19.2,107
387,T,230505,154250,52.3903613N,1.4839035W,76,18.7,106
388,T,230505,154251,52.3903491N,1.4838399W,76,17.7,107
389,T,230505,154252,52.3903381N,1.4837858W,76,16.6,108
390,T,230505,154253,52.3903290N,1.4837410W,76,15,109
391,T,230505,154254,52.3903213N,1.4837069W,77,13.1,109
392,T,230505,154255,52.3903148N,1.4836679W,77,12.4,107
393,T,230505,154256,52.3903068N,1.4836180W,77,12.7,105
394,T,230505,154257,52.3902976N,1.4835597W,77,13.5,104
395,T,230505,154258,52.3902900N,1.4835082W,77,13.3,104
396,T,230505,154259,52.3902844N,1.4834715W,77,12,104
397,T,230505,154300,52.3902810N,1.4834506W,77,10,103
398,T,230505,154301,52.3902797N,1.4834403W,77,2.4,103
399,T,230505,154306,52.3902797N,1.4834403W,77,3.5,102
400,T,230505,154307,52.3902742N,1.4833735W,78,6.8,100
401,T,230505,154308,52.3902708N,1.4833256W,78,9.6,97
402,T,230505,154309,52.3902702N,1.4832587W,78,13.3,92
403,T,230505,154310,52.3902742N,1.4831786W,78,16.8,84
404,T,230505,154311,52.3902845N,1.4831026W,78,17.9,77
405,T,230505,154312,52.3903053N,1.4830212W,78,20,68
406,T,230505,154313,52.3903393N,1.4829368W,79,22.4,56
407,T,230505,154314,52.3903865N,1.4828568W,79,25.1,46
408,T,230505,154315,52.3904407N,1.4827773W,79,27.4,42
409,T,230505,154316,52.3904927N,1.4826965W,79,28.1,43
410,T,230505,154317,52.3905390N,1.4826024W,79,28.8,51
411,T,230505,154318,52.3905695N,1.4824904W,79,29.6,66
412,T,230505,154319,52.3905832N,1.4823561W,80,31.4,80
413,T,230505,154320,52.3905808N,1.4822084W,80,34,91
414,T,230505,154321,52.3905638N,1.4820586W,80,35.7,100
415,T,230505,154322,52.3905333N,1.4819104W,80,37,108
416,T,230505,154323,52.3904854N,1.4817754W,80,37.5,120
417,T,230505,154324,52.3904165N,1.4816762W,81,37.4,138
418,T,230505,154325,52.3903332N,1.4816274W,81,36.8,160
419,T,230505,154326,52.3902423N,1.4816263W,81,36.8,179
420,T,230505,154327,52.3901481N,1.4816365W,81,37.4,183
421,T,230505,154328,52.3900557N,1.4816263W,81,37.2,176
422,T,230505,154329,52.3899667N,1.4815843W,81,37.2,163
423,T,230505,154330,52.3898868N,1.4815059W,81,37.4,149
424,T,230505,154331,52.3898178N,1.4813981W,81,37.7,136
425,T,230505,154332,52.3897583N,1.4812662W,81,39,126
426,T,230505,154333,52.3897051N,1.4811154W,81,40.9,120
427,T,230505,154334,52.3896467N,1.4809551W,80,43.5,120
428,T,230505,154335,52.3895820N,1.4807981W,80,45,123
429,T,230505,154336,52.3895108N,1.4806448W,79,46.1,127
430,T,230505,154337,52.3894406N,1.4804944W,79,47.5,133
431,T,230505,154338,52.3893573N,1.4803600W,79,48.3,135
432,T,230505,154339,52.3892652N,1.4802310W,79,48.8,139
433,T,230505,154340,52.3891673N,1.4801087W,78,49,142
434,T,230505,154341,52.3890690N,1.4799910W,78,48.8,143
435,T,230505,154342,52.3889701N,1.4798779W,78,48.8,145
436,T,230505,154343,52.3888703N,1.4797695W,77,48.7,146
